No,Comment,Class
518,Glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)﻿,not spam
519,Megan Fox is gorg in this!! Eminem is truly the rap god :)﻿,not spam
520,What my gangnam style﻿,not spam
521,Still a very fun music video to watch! ﻿,not spam
523,2015 and more....﻿,not spam
524,LMFAO IS THE BEST﻿,not spam
525,this jap is such a piece of shit. he is such a worthless fish head. i dont  know how any one likes this dumb untanlted gook. this isnt even fucken  music. this is so fucking sad that this is even such thing. people are so  fucked up.﻿,not spam
526,I am going to blow my mind﻿,not spam
530,DISLIKE.. Now one knows REAL music - ex. Enimen ﻿,not spam
531,just came here to check the views :P﻿,not spam
534,Like﻿,not spam
535,Katy Perry can't sing for shit. All i hear it autotune.﻿,not spam
536,How stupid humanity is﻿,not spam
538,The best Song i saw ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘﻿,not spam
540,I like you . Katy Perry 600▲60▲6▲﻿,not spam
541,Can somebody wake me up when we get to 3 billion views.﻿,not spam
542,best song﻿,not spam
544,why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube﻿,not spam
546,2015!! LLIKEE!!﻿,not spam
548,every bady yust have a good time﻿,not spam
549,I think this is now a place to promote channels in the comment section lol.﻿,not spam
550,Really good song .you know love song song.﻿,not spam
552,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,not spam
553,everyones back lool this is almost 3 years old and people are still hear!  xD﻿,not spam
554,Yesterday this video have 1 million likes and now it has 2 million﻿,not spam
558,I love you!❤✨﻿,not spam
561,"I love this song, can't believe it was 5 years ago, it doesn't get old though﻿",not spam
562,LOL this shit never gets old﻿,not spam
567,This song never gets old love it.﻿,not spam
568,There is 7 bilion poeple on earth Now stop being dumb﻿,not spam
571,"She is good. Does she make any more music? If she doesn't, she should!﻿",not spam
573,Like eminen﻿,not spam
574,"Don't mind me, I'm just checking what the views are up to : )﻿",not spam
575,Waka best one﻿,not spam
576,1 million dislikes!EPIC FAIL(ready for you fanboys)﻿,not spam
577,Love you﻿,not spam
580,I shuffled while listening to this song. THE ILLNESS IS SPREADING!!﻿,not spam
583,Nice﻿,not spam
586,I'd rather hear some propa explicit gangsta rap insted of this garbage.  This song is trash !﻿,not spam
587,Wow...5 years﻿,not spam
588,"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",not spam
590,SHAKIRA SONG WAKA WAKA﻿,not spam
599,best rap ever﻿,not spam
600,Not bad﻿,not spam
601,Party rock due and duel﻿,not spam
603,awesome﻿,not spam
605,that time in 2011 where this shirt was cool﻿,not spam
609,Looooooooove this song!!!!!!!!!:))))))﻿,not spam
614,"""....because I AM a champion...and you're gonna hear me roar!""   Today I AM my own champion  Today I AM a champion for the Creator  Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and  creating success  ﻿",not spam
615,Best Music Ever!!!﻿,not spam
617,"860,000,000 lets make it first female to reach one billion!! Share it and replay it! ﻿",not spam
619,"Rihana, Love Me. :(﻿",not spam
620,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",not spam
622,"The song is very good ...but the video makes no sense...just a nonsense  video...I mean she is telling her story of being stuck on an island, but  the song doesn't fit in the situation...but nvm...The song is good﻿",not spam
623,"should not have paused the music, this is a clip, not a movie.﻿",not spam
624,The most liked video on YouTube...﻿,not spam
627,"i think they were drunk when they shot the first half of the video and then the sec on half comes in, and her boobs are magically bigger and  she's more beautiful suddenly, and the dude practically vanishes ﻿",not spam
631,Nice song﻿,not spam
632,"Still listening,still same pleasure﻿",not spam
633,Great song﻿,not spam
634,How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,not spam
635,:-D ♪♪♪ This is my favorite song ♥﻿,not spam
636,Love this song so much! One of my faves! Xxx﻿,not spam
637,Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿,not spam
639,i am a big fan of you and i love you﻿,not spam
640,"I hear this all the time on radio and its really irritating. That being  said, i like the video﻿",not spam
641,I love  Shakira !!!!!! ❤🎵🎶🎼🎸﻿,not spam
645,still watching in 2015...﻿,not spam
647,Amazing song﻿,not spam
648,fucking love it omg :v﻿,not spam
650,just came to check the view count﻿,not spam
651,LIKKEE﻿,not spam
653,i like this song because of all the animals and i like this song .﻿,not spam
655,epic﻿,not spam
658,Admit it you just came here to check the number of viewers ﻿,not spam
659,Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿,not spam
660,Eminem rap can be easy for a boy but I can do that﻿,not spam
661,Like this in 2015! :D﻿,not spam
664,Your the best♣♥﻿,not spam
668,PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,not spam
669,"Dumb Guy: Why is there 2 billion views when there are 7 million people on  earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants﻿",not spam
670,Eminem rocks!﻿,not spam
671,This video is kinda close to 1 million  views ﻿,not spam
674,In my head this is like 2 years ago.. Time FLIES﻿,not spam
675,I loved this song when I was in my teenage years!﻿,not spam
676,Best for partying ﻿,not spam
677,i love this song﻿,not spam
678,"Lets be honest, you wouldn't last 1 day on your own in the jungle. Stop  living n a fairy world.﻿",not spam
681,WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,not spam
683,katy perry  just stop it and dont do a song i dont like it﻿,not spam
684,She is fit﻿,not spam
686,"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",not spam
688,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,not spam
691,nice ..very nice﻿,not spam
692,I hav absolutely no idea what he's saying. Is it even a language?﻿,not spam
694,Almost to a billion :)﻿,not spam
698,My telephone!﻿,not spam
699,Anyone else think this video theme is a bit of an insult to 28 days later? ﻿,not spam
700,You are the music hero😍😎﻿,not spam
705,I love this sooooooooooooong I love katy perry﻿,not spam
706,i love Rihanna 😍😍😍😍﻿,not spam
707,Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,not spam
709,"You exactly who u want to be,watching your favourite rappers on tv﻿",not spam
714,super music﻿,not spam
716,2011- the last year of decent music.﻿,not spam
717,good music﻿,not spam
718,That shake and that golden and black robot were really partying ﻿,not spam
719,love this song﻿,not spam
721,Charlie from Lost!﻿,not spam
722,"969,210 dislikes like dislike themselves﻿",not spam
723,not 2 million view anymore :))﻿,not spam
724,People who believe in Illuminati are stupid the same people believe that  911 was made by the American government﻿,not spam
725,Katy Perry's songs are the best of the songs of women artists.﻿,not spam
726,PSY is a good guy﻿,not spam
727,"This song is just insane.Do you dance listening to this song?( i do, lol)﻿",not spam
728,It should be illegal to be this goodlooking as this babe is...﻿,not spam
731,EMINEM the best EVER.﻿,not spam
732,Charlie from LOST﻿,not spam
735,Love your song makes me happy﻿,not spam
736,thumb up if you watching in 2015 and  you like it﻿,not spam
737,"I believe that soccer promotes terrorism. Bad choice, Shakira.﻿",not spam
739,Feels and emotions in this song...God damn﻿,not spam
740,Eminem THE BEST !﻿,not spam
741,OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,not spam
742,The best world cup song ever!!!!﻿,not spam
743,Oppa! Yeah! Best Song!﻿,not spam
744,I came here because of Vanoss.﻿,not spam
746,This is my favorite song ever love this Party Rock It Everybody!!!!﻿,not spam
747,Love﻿,not spam
751,this is increidebl﻿,not spam
752,Its almost Katys birthday! October 25th Lets say happy birthday to katy!!! ♥♥♥♥♥♥﻿,not spam
756,....I stil lisening this :)﻿,not spam
757,Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,not spam
758,Love your songsSupper cool﻿,not spam
759,great song you go katy!﻿,not spam
760,Lets party﻿,not spam
761,Boooobs﻿,not spam
765,just checking the views﻿,not spam
767,She is a perfect wonder.....﻿,not spam
768,So freaking sad...﻿,not spam
769,"C'mon Katy you are so close to 14,000,000 subscribers...come up with  another hit like this and it will happen﻿",not spam
770,I found out this song now﻿,not spam
771,imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿,not spam
774,Love😘❤💖﻿,not spam
775,wowwwwwwwwwwwwwwwwwwwwwwwwwwwwww﻿,not spam
786,I love it and my mom to﻿,not spam
790,"Enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. You're joking. It's not funny anymore.﻿",not spam
791,"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane < songs off the top of my head that's better﻿",not spam
792,"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",not spam
793,"Why there are so many dislikes. This song is so... awesome. It sounds like we MUST STOP BE RACISTS!!! If I could, I would like it 1,000,000,000 times!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",not spam
794,Party rock﻿,not spam
795,I LOVE YOUR SONGS﻿,not spam
796,OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL  SUBSCRIBE﻿,not spam
799,Way was their a guy warring a robot head.﻿,not spam
801,"Don't love someone soo much, love the way u lie..﻿",not spam
802,my son love so much﻿,not spam
804,"Shakira you are so beautiful. You are lovely, lively.. We love you.﻿",not spam
806,We need to get this to 1 Billion Views!!﻿,not spam
808,I lovet﻿,not spam
809,good party﻿,not spam
810,Likeeee﻿,not spam
811,Just gonna stand there and hear me cry ..﻿,not spam
813,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,not spam
814,"I like so much this music,  good ﻿",not spam
816,You know a song sucks dick when you need to use google translate to know  what the fuck its saying!﻿,not spam
817,YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!﻿,not spam
818,I  love you Eminem﻿,not spam
819,2015 LIKEEE﻿,not spam
820,CUTE  :)﻿,not spam
822,I like this song very much﻿,not spam
825,she is beautiful but it is not American!﻿,not spam
827,"Getting too 1billion views, holy moly.!!!﻿",not spam
829,Lol this youtuber (officialpsy) is getting so much money lol﻿,not spam
831,Eminem best rapper all the time﻿,not spam
832,I still to this day wonder why this video is so popular ?? illuminati  confirmed ??﻿,not spam
833,Song name??﻿,not spam
834,The first comment is chuck norrus ovbiously :D﻿,not spam
835,how is this shit still relevant ﻿,not spam
836,Omg! This guy sounds like an american professor green﻿,not spam
837,still.. this reminds me of 1 years back when i was do shuffle everyday﻿,not spam
838,it is wonderful﻿,not spam
839,Im just to check how much views it has﻿,not spam
840,i like the lyrics but not to music video﻿,not spam
841,Super awesome video﻿,not spam
842,BEAUTIFUL,not spam
844,Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,not spam
846,5 years soon!﻿,not spam
847,"super nice, love musique﻿",not spam
849,Very good! Like! :D﻿,not spam
855,This song is true because it is insane because boys will do this to a girl and it is not true that people say that a guy will never do it to a girl but boys YOU LIERS NOW STOP TREATING US GIRLS THIS WAY YOU ALL SUCK!﻿,not spam
857,Every single one of his songs brings me back to place I can never go back to and it hurts so bad inside﻿,not spam
859,"Its funny that Mahogany is there lmao, I actually didn't know that her brother and uncle are part of LMFAO﻿",not spam
860,Dance :)﻿,not spam
862,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,not spam
863,The great mother of the jungle. Sweet and natural. I like her videos.﻿,not spam
865,This song means so much to me thank you  soooooooooooooooooooooooooooooooooooooooo much:-) Xxx﻿,not spam
866,prehistoric song..has been﻿,not spam
868,go here to check the views :3﻿,not spam
869,you cant stop the shuffle﻿,not spam
870,"I fuckin love this song!After, I'm sexy and I know it ﻿",not spam
872,LOVE IT!!!!!!!﻿,not spam
876,"great song, but we all know that Katy buys her views..﻿",not spam
879,sorry to all my hatersfor party rock en﻿,not spam
880,And i´m Shufflin still today :D﻿,not spam
883,omg﻿,not spam
884,With the korean girl more slut and bitch : Hyuna :'33﻿,not spam
885,this song is better then monster by eminem﻿,not spam
886,This video deserves 1B views!!!﻿,not spam
887,"We get it, you came here for the views... ﻿",not spam
890,Very nice,not spam
891,She's an old Whore!﻿,not spam
893,Still watching this 2 years later? ﻿,not spam
894,"This is fucking shit. From the first notes, that becomes clear. Complete  and utter shit. May God come and cleanse the earth of the complete and  utter idiocy which is humankind.﻿",not spam
897,I like this song﻿,not spam
898,"I love this-the talents of eminem and Skylar,works well together﻿",not spam
901,Why so many disliked??????!!!!!!😯﻿,not spam
903,is that Megan fox﻿,not spam
904,SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,not spam
905,Cutie girl and beautiful song,not spam
906,I like it﻿,not spam
907,waka waka﻿,not spam
908,"WE GO FOR 1,000,000,000 FOR EMINEM﻿",not spam
909,Fantastic!!!﻿,not spam
910,"I wanted to know the name of the guy that dances at 00:58, anybody knows ?﻿",not spam
913,"The girl in the train who was dancing, her outfit was so fucking sexy, but  the huge turn-off was she lacked eyebrows D:﻿",not spam
914,Youtube comments be likeThis is so 5 years ago. ﻿,not spam
916,"To help shakira become the first female to hit 1billiom views, I've decided to watch this Video at least one a day. Everyday! Shakifans we r so close just hit the replay button !!!﻿",not spam
917,"Ahhh, 2 years ago....﻿",not spam
918,Love it when I can relate to my daughter's music. :-) Katy Perry - Roar  (Official): http://youtu.be/CevxZvSJLk8﻿,not spam
919,OPPA GANGNAM STYLE!!!﻿,not spam
920,LMFAO!!!!!!!!﻿,not spam
922,Love the way you lie II is nicer in my opinion. :D﻿,not spam
923,Why does a song like this have more views than Michael Jackson SMH﻿,not spam
924,Me and my aunt love this song!!!!!﻿,not spam
925,music yeah﻿,not spam
926,I learned the shuffle because of them﻿,not spam
927,Fuck you Eminem﻿,not spam
928,:)﻿,not spam
931,Sick Music for sick females﻿,not spam
933,5 years... ﻿,not spam
934,song is bad﻿,not spam
938,How can this song have 629 million views while there are only 7 million  people in the world?﻿,not spam
939,Eminem is the greatest artist to ever touch the mic.﻿,not spam
940,likeeeeeeeee﻿,not spam
941,Almost 1 billion﻿,not spam
945,This Song Was Good Until It Got Overplayed The Hell Out Of On Radio﻿,not spam
946,Good song:-)﻿,not spam
948,Lol thats the guy from animal planet and lost. And the girl is megan fox i think hahah ﻿,not spam
951,❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,not spam
954,Cool﻿,not spam
955,2 billion for this shit?﻿,not spam
956,This looks so fun and it's a good song﻿,not spam
959,I remember that torunament like it was today.﻿,not spam
961,I felt old when I realized that this song was 5 years old...﻿,not spam
965,Best. Song. EVER 🙌﻿,not spam
967,I heard this when I was only 6 years old and I still love it﻿,not spam
968,Eminem et Rihana trop belle chanson﻿,not spam
969,It looks so real and my daughter is a big fan and she likes a lot of your  songs.﻿,not spam
970,watch this with sound off!﻿,not spam
971,Gooooood﻿,not spam
972,so many comments.﻿,not spam
973,Wow this video is the most viewed youtube video.. second that comes Justin  bieber- baby SMH WHAT HAS THE WORLD COME TO﻿,not spam
974,is that megan fox?﻿,not spam
975,GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*﻿,not spam
976,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.﻿",not spam
977,Waka waka !!!﻿,not spam
978,"You are all sheep, period. This is terrible music.﻿",not spam
980,I love katty perry﻿,not spam
981,why I dont see any comments but mine?:/﻿,not spam
983,"Shakira is different :) She is so happy all the time and she is spending for Africa :)She can dance , sing and she speaks 4 languages﻿",not spam
984,2008-2010 were the years for pop﻿,not spam
985,ROAAAAARRRRRR 🐯🐯🐯﻿,not spam
986,lol so funny love it﻿,not spam
987,This is so stupid. If you Roared at a Lion in real life you'd dede﻿,not spam
988,Eminem is my insperasen and fav﻿,not spam
990,Hello. İ am from Azerbaijan﻿,not spam
991,Katy Perry is lion﻿,not spam
992,Rihanna and Eminem together are unstoppable.﻿,not spam
994,"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",not spam
995,charlieee :DDDD (Those who saw Lost only will understand)﻿,not spam
996,best song ever (y)﻿,not spam
1000,OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.Either that house. (sirius black)﻿,not spam
1001,She's awesome XD﻿,not spam
1003,Love it﻿,not spam
1004,"To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.﻿",not spam
1005,In the beginning she was scared off everything and next thing you know she  is out in a leopard bikini!﻿,not spam
1008,Fire..﻿,not spam
1009,i remember this song!,not spam
1011,"Almost 1 billion views, nice.﻿",not spam
1013,Shakira is my favourite singer. Wooooo﻿,not spam
1016,Party in da 🏠 tonight 👐👐👐👐👐👐﻿,not spam
1017,2015 but Im still listening to this!﻿,not spam
1021,If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,not spam
1022,Eminem and Rihanna sing the song very well.﻿,not spam
1023,nice song﻿,not spam
1024,"NEW GOAL!   3,000,000!  Let's go for it!﻿",not spam
1026,Waka waka eh eh﻿,not spam
1027,"Why the fuck this keeps updated? Comments :""5 minutes ago"" Song: ""2 years and  4 months ago""﻿",not spam
1031,At least she didn't get rid of her completely useless makeup.﻿,not spam
1034,Oh my god go to 1 billion of replay i love shakira﻿,not spam
1037,"Since she is a feminist champion, why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldn't even appreciate it?﻿",not spam
1038,#1 song in world even in 2015﻿,not spam
1039,I love roar and Katy Perry. She is my favorite singer and sometimes I just  mute the volume and look at her!﻿,not spam
1040,Can we reach 3 billion views by December 2014? ﻿,not spam
1041,she is megan fox?because she is very similar﻿,not spam
1043,"666,002,018 views! 666 million. 666! Katy Perry illuminati confirmed!!!﻿",not spam
1044,I love this song and expect the World Cup .﻿,not spam
1045,"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",not spam
1046,What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )﻿,not spam
1047,like me﻿,not spam
1051,"Nature is beautiful, no need to place tits in video to impress people.﻿",not spam
1052,"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",not spam
1053,I always end up coming back to this song﻿,not spam
1054,"Haha, I can't believe how many kids listen to Eminem.  You kids know that he does drugs and ends high in jail. I wonder why he never ended OD. ﻿",not spam
1055,How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,not spam
1057,Wow 23 min ago﻿,not spam
1058,Looooved ﻿,not spam
1059,Who is still watching in 2015﻿,not spam
1062,I love You Katy ♥﻿,not spam
1063,"870,000,000 views...566,000 comments...oh my lanta﻿",not spam
1065,WELL THIS DUDES FADED THE FUCK OUT!﻿,not spam
1068,old and good song﻿,not spam
1069,Hii youtube﻿,not spam
1070,I    loved        it           so       much          because         you          get         to         stand            fear .﻿,not spam
1072,That's Good :)﻿,not spam
1074,Man she is BEAUTIFUL!﻿,not spam
1076,most popular video on youtube  ﻿,not spam
1078,More views than nikki minaj Anaconda﻿,not spam
1080,"''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U <3﻿",not spam
1081,"I don't understand this song, I have had the passion for women feel like im losing my mind but i don't understand the ideas of loving the the way someone lies.....﻿",not spam
1082,Whose watching this in 2015. If so hi-5﻿,not spam
1084,Its 2015 and still shuffling to this song🎶🎵🎧﻿,not spam
1086,"Hey, it's Charlie from Lost﻿",not spam
1089,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,not spam
1091,Eminem is idol for very people in España and Mexico or Latinoamerica﻿,not spam
1092,Whose who are watching this in 2015.  LIKE!﻿,not spam
1094,I lovee it ♥﻿,not spam
1095,I am now going to voyage to the first comment...      Tell my family I loved them. 😢﻿,not spam
1096,I remember when everyone was obsessed with Gangnam Style 😗﻿,not spam
1097,"Shuffling all the way with LMFAO! I like this one, wish I could shuffle like these crazy dudes﻿",not spam
1099,Who else saw jesses dancing sorry if I spelled it wrong  peace✌﻿,not spam
1100,BEST SONG EVER X3333333333﻿,not spam
1101,Who is watching in 2015 like﻿,not spam
1102,C'mon 3 billion views!!!!!!!!﻿,not spam
1105,shakira is best for worldcup﻿,not spam
1106,Never gets old best song ever  ❤﻿,not spam
1107,"Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.﻿",not spam
1108,I really like this song.﻿,not spam
1109,"And after the video ends, a 13 ft. boa constrictor squeezes her to death.﻿",not spam
1110,"I can't comprehend why this video has nearly 700,000,000 views. Some people  found 'Gangnam Style' funny so that explains its high view count but this  is just an awful pop song. I really have no clue on this one.﻿",not spam
1112,Party Rock﻿,not spam
1115,OMG LISTEN TO THIS ITS SOO GOOD!! :D﻿,not spam
1116,"Damn, this was everywhere﻿",not spam
1117,most viewed video in the world﻿,not spam
1119,eminem is a ginius stop!﻿,not spam
1120,Party rock! XD﻿,not spam
1123,5 years ago damn ﻿,not spam
1125,so cute that monkey *-*! ﻿,not spam
1126,I like the Mmph version better﻿,not spam
1127,like the songs﻿,not spam
1129,I love you﻿,not spam
1131,I remember back when this was so popular everyone on our school was shuffling it was crazy﻿,not spam
1135,If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿,not spam
1136,"She named the tiger Kitty Purry  No, seriously, she did, check the video ﻿",not spam
1137,Made in china....﻿,not spam
1140,I like shakira..﻿,not spam
1141,best song in world﻿,not spam
1146,I love﻿,not spam
1147,im still watching in 2015﻿,not spam
1148,"Hahah, juyk! I allways laugh at the part 1:57.. LOL!﻿",not spam
1149,Is that Charlie from lost?﻿,not spam
1150,"She kinda let herself go, huh?﻿",not spam
1157,2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~﻿,not spam
1161,I hate videos like these with those poor animals.﻿,not spam
1163,"Came here to check the views, goodbye.﻿",not spam
1164,is that megan fox x:D?﻿,not spam
1168,1 millioon dislikesssssssssssssssssssssssssssssssss.............﻿,not spam
1170,In my opinion I think you look better with black hair then blond hair : )﻿,not spam
1172,i love her﻿,not spam
1174,This song is so beauty,not spam
1178,Wow she is sexy XD﻿,not spam
1179,I'm only checking the views﻿,not spam
1180,"blue eyes, can't be trusted.  uranus bless america.﻿",not spam
1184,"Love these guys, love the song!﻿",not spam
1185,I know it old song but (like) if you watching in 2015﻿,not spam
1187,This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,not spam
1189,Fantastic!﻿,not spam
1190,Awesome video this is one of my favorite  songs😀😀😀😀😀😀😀❤️❤️❤️❤️❤️❤️❤️❤️💎💎💎💎💎💄💄💄💄💋💋💋💋﻿,not spam
1192,Love you shkira﻿,not spam
1194,this very good so I dance with some companions front of the whole school﻿,not spam
1195,You best singer﻿,not spam
1199,Love Song﻿,not spam
1200,Awesome﻿,not spam
1201,Best World Cup Song﻿,not spam
1204,i like it :)﻿,not spam
1206,The little PSY is suffering Brain Tumor and only has 6 more months to live.  Please pray to him and the best lucks.﻿,not spam
1207,I love it﻿,not spam
1208,The best FIFA world cup song for sure.﻿,not spam
1209,I love shakira❤❤❤❤﻿,not spam
1210,Thanks to this video we know that Nokia phones can survive a plane crash.﻿,not spam
1211,goot﻿,not spam
1212,Laughing My Fucking Ass Off!!!﻿,not spam
1214,"Its a good song and i like her video clip, because its a bout a girl that  her airplane crashed on a land far far away... and she found the way to  survive! And i love the pet tiget too( Kitty Purpy) lol :D﻿",not spam
1215,How could 108k people dislike this song or video﻿,not spam
1219,Love the way you lie - Driveshaft﻿,not spam
1220,"Awesome song!,congratulations!!!﻿",not spam
1221,#2015 FUCK YEAH﻿,not spam
1223,How old is Katy perry?﻿,not spam
1225,Very Nice !!!Yeah Fucking.﻿,not spam
1226,i love u  shakira﻿,not spam
1227,Justin bieber = gay ﻿,not spam
1231,"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿",not spam
1232,"when i see this back in 2015 i ask myself how people got to like this song. seems like Gangnam style copied this style though, might just be me but yea﻿",not spam
1234,"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",not spam
1235,Good﻿,not spam
1236,Love this song﻿,not spam
1237,Love it!!!!!!!!!!!!!!!!💜﻿,not spam
1238,my favorite song﻿,not spam
1239,Beautiful song﻿,not spam
1242,Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,not spam
1244,Hi I am from bangladesh 💜﻿,not spam
1248,Party time!﻿,not spam
1249,this song sucks﻿,not spam
1250,super﻿,not spam
1255,8 million likes xD even the subscribers not 8 million xD﻿,not spam
1258,Who df is Lauren Bennett..﻿,not spam
1259,This awesome song needed 4 years to reach to 800 mil views while Tango Switch bitch needed 1 year. its not fairrrrrrr﻿,not spam
1260,Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,not spam
1261,love lmfao party rockin keep it going﻿,not spam
1262,Lemme Top Comments Please!!﻿,not spam
1264,I don't now why I'm watching this in 2014﻿,not spam
1268,"mindblowing dance.,.,.superbbb song﻿",not spam
1270,"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿",not spam
1271,This Will Always Be My Favorite SongBut My Favorite Part Is 3:40-4:11 In The Video ﻿,not spam
1274,Love this song! My soccer team made a cd for our couch with this song on it!﻿,not spam
1275,super rihanna﻿,not spam
1276,5th most viewed video.. i guess﻿,not spam
1279,tension⤴︎⤴︎﻿,not spam
1282,"How is this the most watched Eminem video, it beats not afraid? ﻿",not spam
1283,i love you katy perry because you will sing nice than shakira﻿,not spam
1285,PARTY ROCK (8) ~﻿,not spam
1287,cool song ever good thing its here﻿,not spam
1288,I lover this song,not spam
1291,I love the way you lie﻿,not spam
1292,Love the video ﻿,not spam
1293,shuffle!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,not spam
1295,"Party rock anthem is love,party rock anthem is life﻿",not spam
1296,Awsome﻿,not spam
